,true,pred
2024-04-22,481.7300109863281,478.95319372554843
2024-04-23,496.1000061035156,495.5108443398511
2024-04-24,493.5,490.78408556350456
2024-04-25,441.3800048828125,437.6376305424531
2024-04-26,443.2900085449219,438.6712452261951
2024-04-27,439.73333740234375,435.78356703582665
2024-04-28,436.1766662597656,433.20497376070483
2024-04-29,432.6199951171875,430.839237184018
2024-04-30,430.1700134277344,437.3406051142386
2024-05-01,439.1900024414063,446.09157650228576
2024-05-02,441.6799926757813,439.1858449092594
2024-05-03,451.9599914550781,451.87394697872
2024-05-04,456.5333251953125,455.6406330266634
2024-05-05,461.1066589355469,459.39683738866916
2024-05-06,465.6799926757813,463.09520254909876
2024-05-07,468.239990234375,466.9844057445759
2024-05-08,472.6000061035156,473.4253160811825
2024-05-09,475.4200134277344,473.73537844843776
2024-05-10,476.2000122070313,472.47796429825314
2024-05-11,473.4700113932292,470.8400725655474
2024-05-12,470.7400105794271,469.16260792983877
2024-05-13,468.010009765625,467.63115450722546
2024-05-14,471.8500061035156,471.0700686115339
2024-05-15,481.5400085449219,480.5149026011967
2024-05-16,473.2300109863281,478.0053755815963
2024-05-17,471.9100036621094,473.3782160672929
2024-05-18,470.8866678873698,473.1324001648329
2024-05-19,469.8633321126302,472.7598069049938
2024-05-20,468.8399963378906,472.2946620657676
2024-05-21,464.6300048828125,468.0203049251188
2024-05-22,467.7799987792969,472.6256003031987
2024-05-23,465.7799987792969,466.81752069719647
2024-05-24,478.2200012207031,478.01432942226484
2024-05-25,478.64500427246094,478.66023689793826
2024-05-26,479.0700073242188,479.25841847260426
2024-05-27,479.49501037597656,479.8253946038426
2024-05-28,479.9200134277344,480.28727042492204
2024-05-29,474.3599853515625,479.63086953580626
2024-05-30,467.0499877929688,467.85906672329304
2024-05-31,466.8299865722656,461.39029941498245
2024-06-01,470.38332112630206,466.7273298339078
2024-06-02,473.93665568033856,472.1820248544749
2024-06-03,477.489990234375,477.71758158159
2024-06-04,476.989990234375,477.77466061033596
2024-06-05,495.05999755859375,495.5352858265887
2024-06-06,493.760009765625,500.5568479262184
2024-06-07,492.9599914550781,495.16860511151674
2024-06-08,496.173329671224,497.3459294021728
2024-06-09,499.3866678873698,499.58476520115096
2024-06-10,502.6000061035156,501.84688430422545
2024-06-11,507.4700012207031,505.71485711569574
2024-06-12,508.8399963378906,507.4771375568703
2024-06-13,504.1000061035156,506.5784445394937
2024-06-14,504.1600036621094,506.3060343540717
2024-06-15,504.98333740234375,506.29006071230754
2024-06-16,505.8066711425781,506.30064437189867
2024-06-17,506.6300048828125,506.3360651042805
2024-06-18,499.489990234375,500.189734208371
2024-06-19,500.5950012207031,500.76742238998077
2024-06-20,501.7000122070313,501.2183423532989
2024-06-21,494.7799987792969,496.4742584175537
2024-06-22,496.1566670735677,498.75466933593566
2024-06-23,497.53333536783856,501.1716581932489
2024-06-24,498.9100036621094,503.71165011063226
2024-06-25,510.6000061035156,508.3773203939324
2024-06-26,513.1199951171875,512.3868347992155
2024-06-27,519.5599975585938,522.1841264834295
2024-06-28,504.2200012207031,511.4900829045692
2024-06-29,504.3733317057292,506.94613652140487
2024-06-30,504.5266621907553,502.50313851323114
2024-07-01,504.6799926757813,498.1780656471743
2024-07-02,509.5,508.92204842190665
2024-07-03,509.9599914550781,511.6492405644136
2024-07-04,524.9349822998047,524.3456274016218
2024-07-05,539.9099731445312,536.6606556821698
2024-07-06,536.3799845377604,535.0891040848333
2024-07-07,532.8499959309896,533.2848890156947
2024-07-08,529.3200073242188,531.2461602987539
2024-07-09,530.0,533.3094049289466
2024-07-10,534.6900024414062,536.2171556851047
2024-07-11,512.7000122070312,517.435878229526
2024-07-12,498.8699951171875,504.8922222243254
2024-07-13,497.96666463216144,503.8943560469136
2024-07-14,497.0633341471354,502.9851275820679
2024-07-15,496.1600036621094,502.17520914402274
2024-07-16,489.7900085449219,492.49412818988617
2024-07-17,461.989990234375,465.72722491966834
2024-07-18,475.8500061035156,472.2126492334037
2024-07-19,476.7900085449219,485.4891721492299
2024-07-20,480.32667032877606,486.67452610554443
2024-07-21,483.8633321126302,488.0516656558699
2024-07-22,487.3999938964844,489.6423082330367
2024-07-23,488.6900024414063,493.1505012007094
2024-07-24,461.2699890136719,466.7394169435629
2024-07-25,453.4100036621094,447.67605745610376
2024-07-26,465.7000122070313,464.78062032867336
2024-07-27,465.7033386230469,466.404577452842
2024-07-28,465.7066650390625,468.2881748265205
2024-07-29,465.7099914550781,470.4133530772937
2024-07-30,463.1900024414063,465.68103690527096
2024-07-31,474.8299865722656,474.15782794064586
